dow30,naftrac,nasdaq,russell2000,sp500
16368.269531,41.218311,4334.970215,1119.76001,1909.569946
16553.929688,41.171616,4370.899902,1131.349976,1931.589966
16569.980469,41.732018,4401.330078,1141.930054,1936.920044
16560.539063,41.769382,4389.25,1133.030029,1933.75
16651.800781,41.769382,4434.129883,1141.780029,1946.719971
16713.580078,41.816078,4453,1143.339966,1955.180054
16662.910156,41.666649,4464.930176,1141.650024,1955.060059
16838.740234,41.88147,4508.310059,1158.400024,1971.73999
16919.589844,42.00288,4527.509766,1162.469971,1981.599976
16979.130859,42.236385,4526.47998,1157.51001,1986.51001
17039.490234,42.395172,4532.100098,1160.030029,1992.369995
17001.220703,42.348473,4538.549805,1160.339966,1988.400024
17076.869141,42.469894,4557.350098,1165.219971,1997.920044
17106.699219,42.441883,4570.640137,1175.170044,2000.02002
17122.009766,42.581982,4569.620117,1172.709961,2000.119995
17079.570313,42.469894,4557.700195,1165.949951,1996.73999
17098.449219,42.628685,4580.27002,1174.349976,2003.369995
17067.560547,42.815483,4598.189941,1179.469971,2002.280029
17078.279297,42.992954,4572.560059,1172.199951,2000.719971
17069.580078,43.245129,4562.290039,1167.209961,1997.650024
17137.359375,43.207771,4582.899902,1170.130005,2007.709961
17111.419922,43.319862,4592.290039,1172.310059,2001.540039
17013.869141,42.880867,4552.290039,1158.5,1988.439941
17068.710938,42.852844,4586.52002,1164.98999,1995.689941
17049,42.638027,4591.810059,1172.339966,1997.449951
16987.509766,42.78746,4567.600098,1160.609985,1985.540039
17031.140625,42.852844,4518.899902,1146.52002,1984.130005
17156.849609,43.01162,4562.189941,1153.890015,2001.569946
17265.990234,43.142391,4593.430176,1159.27002,2011.359985
17279.740234,42.731422,4579.790039,1146.920044,2010.400024
17172.679688,42.292439,4527.689941,1129.359985,1994.290039
17055.869141,42.030907,4508.689941,1118.719971,1982.77002
17210.060547,42.171005,4555.220215,1128.310059,1998.300049
16945.800781,41.80674,4466.75,1110.23999,1965.98999
17113.150391,41.937511,4512.189941,1119.329956,1982.849976
17071.220703,41.937511,4505.850098,1117.910034,1977.800049
17042.900391,41.984196,4493.390137,1101.680054,1972.290039
16804.710938,41.479836,4422.089844,1085.410034,1946.160034
16801.050781,41.330395,4430.200195,1096.380005,1946.170044
17009.689453,41.713345,4475.620117,1104.73999,1967.900024
16991.910156,41.862778,4454.799805,1094.650024,1964.819946
16719.390625,41.601265,4385.200195,1076.310059,1935.099976
16994.220703,41.601265,4468.589844,1097.119995,1968.890015
16659.25,41.199635,4378.339844,1067.98999,1928.209961
16544.099609,40.545807,4276.240234,1053.319946,1906.130005
16321.070313,40.284298,4213.660156,1049.300049,1874.73999
16315.19043,40.33099,4227.169922,1061.599976,1877.699951
16141.740234,40.181553,4215.319824,1072.449951,1862.48999
16117.240234,40.106823,4217.390137,1086.109985,1862.76001
16380.410156,40.443073,4258.439941,1082.329956,1886.76001
16399.669922,40.377697,4316.069824,1094.969971,1904.01001
16614.810547,40.732613,4419.47998,1112.849976,1941.280029
16461.320313,40.592522,4382.850098,1096.869995,1927.109985
16677.900391,40.816681,4452.790039,1116.48999,1950.819946
16805.410156,40.788662,4483.720215,1118.819946,1964.579956
16817.939453,40.900738,4485.930176,1117.47998,1961.630005
17005.75,41.162262,4564.290039,1149.449951,1985.050049
16974.310547,41.32106,4549.22998,1146.369995,1982.300049
17195.419922,41.657291,4566.140137,1155.77002,1994.650024
17390.519531,42.030907,4630.740234,1173.51001,2018.050049
17366.240234,42.197136,4638.910156,1170.199951,2017.810059
17383.839844,41.954197,4623.640137,1165.420044,2012.099976
17484.529297,42.150414,4620.720215,1167.069946,2023.569946
17554.470703,41.907475,4638.470215,1171.859985,2031.209961
17573.929688,41.692577,4632.529785,1173.319946,2031.920044
17613.740234,41.599129,4651.620117,1179.569946,2038.26001
17614.900391,41.393562,4660.560059,1179.959961,2039.680054
17612.199219,40.870304,4675.140137,1186.469971,2038.25
17652.789063,40.860947,4680.140137,1175.420044,2039.329956
17634.740234,40.543266,4688.540039,1173.810059,2039.819946
17687.820313,40.618019,4702.439941,1170.280029,2051.800049
17685.730469,41.225365,4675.709961,1157.689941,2048.719971
17719,41.281429,4701.870117,1170.75,2052.75
17810.060547,41.7206,4712.970215,1172.420044,2063.5
17817.900391,41.692577,4754.890137,1186.939941,2069.409912
17814.939453,41.533714,4758.25,1186.329956,2067.030029
17827.75,41.767315,4787.319824,1190.619995,2072.830078
17828.240234,41.309456,4791.629883,1173.22998,2067.560059
17776.800781,40.552608,4727.350098,1154.050049,2053.439941
17879.550781,40.206879,4755.810059,1168.449951,2066.550049
17912.619141,40.272289,4774.470215,1179.01001,2074.330078
17900.099609,40.010658,4769.439941,1173.01001,2071.919922
17958.789063,40.375061,4780.759766,1182.430054,2075.370117
17852.480469,40.113453,4740.689941,1167.209961,2060.310059
17801.199219,39.552811,4766.470215,1188.060059,2059.820068
17533.150391,38.618412,4684.02002,1161.859985,2026.140015
17596.339844,38.982841,4708.160156,1166.959961,2035.329956
17180.839844,37.646652,4605.160156,1140.300049,1989.630005
17068.869141,37.553215,4547.830078,1139.369995,1972.73999
17356.869141,38.291378,4644.310059,1174.839966,2012.890015
17778.150391,39.692963,4748.399902,1192.160034,2061.22998
17804.800781,39.758381,4765.379883,1195.959961,2070.649902
17959.439453,40.029343,4781.419922,1201.859985,2078.540039
18024.169922,40.309662,4765.419922,1202.439941,2082.169922
18030.210938,40.216228,4773.470215,1206.780029,2081.879883
18053.710938,40.150822,4806.859863,1215.209961,2088.77002
18038.230469,40.3377,4806.910156,1219.109985,2090.570068
17983.070313,40.431145,4777.439941,1213.050049,2080.350098
17823.070313,40.272289,4736.049805,1204.699951,2058.899902
17832.990234,39.32856,4726.810059,1198.800049,2058.199951
17501.650391,38.356785,4652.569824,1181.349976,2020.579956
17371.640625,38.599735,4592.740234,1161.310059,2002.609985
17584.519531,39.066921,4650.470215,1175.969971,2025.900024
17907.869141,39.627567,4736.189941,1196.130005,2062.139893
17737.369141,39.599518,4704.069824,1185.680054,2044.810059
17640.839844,39.085621,4664.709961,1180.089966,2028.26001
17613.679688,38.777267,4661.5,1180.640015,2023.030029
17427.089844,38.282043,4639.319824,1177.060059,2011.27002
17320.710938,38.328762,4570.819824,1154.709961,1992.670044
17511.570313,38.674492,4634.379883,1176.650024,2019.420044
17515.230469,39.001518,4654.850098,1170.25,2022.550049
17554.279297,39.711666,4667.419922,1166.25,2032.119995
17813.980469,40.300331,4750.399902,1190.369995,2063.149902
17672.599609,39.842464,4757.879883,1188.930054,2051.820068
17678.699219,39.926567,4771.759766,1200.73999,2057.090088
17387.210938,39.851807,4681.5,1194.660034,2029.550049
17191.369141,39.421982,4637.990234,1175.119995,2002.160034
17416.849609,39.104305,4683.410156,1190.180054,2021.25
17164.949219,38.235306,4635.240234,1165.390015,1994.98999
17666.400391,38.80529,4727.740234,1196.98999,2050.030029
17673.019531,38.945461,4716.700195,1191.439941,2041.51001
17884.880859,39.65559,4765.100098,1208.709961,2062.52002
17824.289063,39.898525,4744.399902,1205.459961,2055.469971
17729.210938,39.991966,4726.009766,1195.829956,2046.73999
17868.759766,39.833118,4787.640137,1203.180054,2068.590088
17862.140625,39.16037,4801.180176,1201.550049,2068.530029
17972.380859,40.178856,4857.609863,1216.27002,2088.47998
18019.349609,40.272289,4893.839844,1223.130005,2096.98999
18047.580078,40.459171,4899.27002,1225.01001,2100.340088
18029.849609,40.262939,4906.359863,1227.949951,2099.679932
17985.769531,40.449837,4924.700195,1227.910034,2097.449951
18140.439453,40.739475,4955.970215,1231.790039,2110.300049
18116.839844,40.84227,4960.970215,1231.829956,2109.659912
18209.189453,41.066097,4968.120117,1233.97998,2115.47998
18224.570313,40.963299,4967.140137,1235.099976,2113.860107
18214.419922,41.486671,4987.890137,1239.109985,2110.73999
18132.699219,41.299759,4963.529785,1233.369995,2104.5
18288.630859,41.066097,5008.100098,1242.619995,2117.389893
18203.369141,40.757698,4979.899902,1234.76001,2107.780029
18096.900391,40.449268,4967.140137,1230.72998,2098.530029
18135.720703,40.645535,4982.810059,1234.310059,2101.040039
17856.779297,40.4119,4927.370117,1217.52002,2071.26001
17995.720703,40.430573,4942.439941,1223.589966,2079.429932
17662.939453,40.196926,4859.790039,1208.469971,2044.160034
17635.390625,40.40255,4849.939941,1215.780029,2040.23999
17895.220703,41.178265,4893.290039,1236.640015,2065.949951
17749.310547,41.131519,4871.759766,1232.140015,2053.399902
17849.080078,40.925907,4937.430176,1242.22998,2074.280029
